,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
0,Zhukovka,0,RU,1598816243,69,53.53,33.73,66.0,8.79
1,Souillac,75,MU,1598816039,83,-20.52,57.52,71.6,18.34
2,Grand Gaube,1,MU,1598816244,77,-20.01,57.66,71.01,5.99
3,Castro,0,BR,1598816245,54,-24.79,-50.01,76.35,3.49
4,Laas,67,IT,1598816246,88,46.62,10.7,62.6,2.24
5,Vaini,75,TO,1598816247,94,-21.2,-175.2,75.2,12.75
6,Samarai,97,PG,1598816247,88,-10.62,150.67,78.4,18.32
7,Geraldton,0,AU,1598816248,93,-28.77,114.6,44.6,8.05
8,Verkh-Usugli,100,RU,1598816249,96,52.7,115.17,49.5,2.8
9,Airai,3,TL,1598816031,100,-8.93,125.41,56.39,4.0
10,Mahon,20,ES,1598816250,60,39.89,4.27,71.6,8.05
11,New Norfolk,2,AU,1598816250,74,-42.78,147.06,44.01,1.01
12,Leningradskiy,100,RU,1598816251,91,69.38,178.42,35.44,6.62
13,Hasilpur,24,PK,1598816251,55,29.71,72.56,89.55,13.24
14,Cape Town,0,ZA,1598816010,75,-33.93,18.42,48.0,2.24
15,Kapaa,20,US,1598816034,69,22.08,-159.32,82.99,16.11
16,Half Moon Bay,40,US,1598816133,77,37.46,-122.43,72.0,9.17
17,Albany,0,US,1598816007,42,42.6,-73.97,73.0,12.1
18,Concepción,0,CL,1598815975,50,-36.83,-73.05,57.2,17.22
19,Norman Wells,75,CA,1598816252,58,65.28,-126.83,55.4,12.75
20,Nanortalik,100,GL,1598816172,78,60.14,-45.24,47.52,8.16
21,Houma,75,US,1598816254,100,29.6,-90.72,73.4,3.36
22,Menongue,4,AO,1598816255,35,-14.66,17.69,63.7,2.08
23,Carutapera,95,BR,1598816154,68,-1.2,-46.02,82.76,12.03
24,Bako,100,ET,1598816257,76,5.78,36.57,66.24,3.44
25,Dudinka,90,RU,1598816257,100,69.41,86.18,46.4,13.42
26,Bang Saphan,31,TH,1598816258,89,11.21,99.51,77.07,4.88
27,Butaritari,12,KI,1598816258,75,3.07,172.79,82.63,12.26
28,Port Alfred,45,ZA,1598816259,72,-33.59,26.89,50.99,11.77
29,George Town,40,MY,1598816259,94,5.41,100.34,80.6,3.36
30,Leeton,0,AU,1598816259,93,-34.57,146.4,44.6,6.93
31,Chunskiy,98,RU,1598816259,86,56.08,99.63,53.55,1.79
32,Atuona,60,PF,1598816260,80,-9.8,-139.03,78.21,21.92
33,Arvika,0,SE,1598816260,100,59.66,12.59,51.01,4.7
34,Tuatapere,55,NZ,1598816260,69,-46.13,167.68,49.66,9.51
35,Busselton,0,AU,1598816261,74,-33.65,115.33,39.99,3.6
36,Ankazoabo,3,MG,1598816262,61,-22.28,44.52,69.46,6.17
37,Hasaki,75,JP,1598816263,100,35.73,140.83,77.0,1.12
38,Ilulissat,5,GL,1598816263,56,69.22,-51.1,48.2,12.75
39,Asău,0,RO,1598816265,78,46.43,26.4,66.0,4.21
40,Provideniya,75,RU,1598816266,71,64.38,-173.3,51.8,15.66
