,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
0,Albany,100,US,1598662731,82,42.6,-73.97,68.0,1.54
1,Yellowknife,90,CA,1598663004,66,62.46,-114.35,55.4,10.29
2,Berlevåg,54,NO,1598663004,68,70.86,29.09,44.49,6.4
3,Melfort,20,CA,1598663004,55,52.87,-104.62,66.2,10.29
4,Harbour Breton,6,CA,1598663005,100,47.48,-55.8,57.99,7.0
5,San Jerónimo,2,PE,1598663005,60,-11.95,-75.28,52.81,3.8
6,Merrill,90,US,1598663005,83,45.18,-89.68,71.6,6.93
7,Bluff,69,NZ,1598663005,72,-46.6,168.33,45.0,11.01
8,Puerto Ayora,68,EC,1598662949,86,-0.74,-90.35,65.07,9.53
9,Castro,0,BR,1598663006,82,-24.79,-50.01,58.28,2.64
10,Cape Town,90,ZA,1598662936,81,-33.93,18.42,50.0,16.11
11,Punta Arenas,10,CL,1598663006,68,-53.15,-70.92,30.2,24.16
12,Ushuaia,90,AR,1598663007,94,-54.8,-68.3,32.0,26.4
13,Portland,1,US,1598662782,37,45.52,-122.68,84.0,13.87
14,Busselton,0,AU,1598662955,84,-33.65,115.33,53.01,1.01
15,Dingle,100,PH,1598663007,77,11.0,122.67,84.16,8.1
16,Bubaque,100,GW,1598663008,78,11.28,-15.83,80.6,16.26
17,Souillac,40,MU,1598663008,78,-20.52,57.52,71.6,8.05
18,Atuona,50,PF,1598663008,80,-9.8,-139.03,77.63,19.77
19,Te Anau,100,NZ,1598663008,83,-45.42,167.72,45.46,9.13
20,Kabo,100,CF,1598663009,96,7.7,18.63,71.01,2.15
21,Sungai Penuh,71,ID,1598663009,82,-2.08,101.38,70.12,1.77
22,Cedar City,1,US,1598663009,9,37.68,-113.06,89.6,13.87
23,Shestakovo,100,RU,1598663010,74,56.49,103.96,61.75,1.48
24,College,75,US,1598663010,63,64.86,-147.8,61.0,4.7
25,Rikitea,0,PF,1598663010,66,-23.12,-134.97,69.37,5.64
26,Nador,0,MA,1598663010,51,35.17,-2.93,82.4,11.41
27,Zyryanka,100,RU,1598663011,73,65.75,150.85,46.35,8.86
28,Upernavik,0,GL,1598663011,72,72.79,-56.15,39.97,15.88
29,Tūkrah,0,LY,1598663012,78,32.53,20.58,74.57,5.03
30,Nikolskoye,40,RU,1598663012,87,59.7,30.79,55.4,2.55
31,Arrifes,20,PT,1598663012,94,37.77,-25.7,73.4,9.17
32,Hermanus,100,ZA,1598663013,90,-34.42,19.23,46.99,5.01
33,Khatanga,5,RU,1598663013,47,71.97,102.5,61.32,6.33
34,Tyukhtet,0,RU,1598663013,88,56.54,89.3,53.28,3.83
35,Porto-Novo,100,BJ,1598662936,85,6.5,2.6,75.34,8.81
36,Aykhal,75,RU,1598663014,45,66.0,111.5,48.2,6.71
37,Ahipara,11,NZ,1598663014,63,-35.17,173.17,61.72,9.33
38,Saint Paul Harbor,0,US,1598663014,66,57.79,-152.41,58.84,4.41
39,Lüderitz,0,NA,1598663014,81,-26.65,15.16,53.8,4.32
40,Yalutorovsk,56,RU,1598663015,86,56.65,66.3,61.41,5.08
41,Port Alfred,0,ZA,1598663015,68,-33.59,26.89,56.71,9.6
42,Vao,95,NC,1598663015,77,-22.67,167.48,68.43,20.27
43,Kapaa,20,US,1598663016,66,22.08,-159.32,84.99,12.75
44,Blackwater,0,AU,1598663016,35,-23.58,148.88,72.09,16.46
45,Faanui,13,PF,1598663017,79,-16.48,-151.75,76.53,19.26
46,Qaqortoq,100,GL,1598663017,33,60.72,-46.03,59.0,35.57
47,Rodolfo Sánchez Taboada,0,MX,1598663017,86,31.72,-116.57,72.0,1.99
48,Jamestown,75,US,1598662892,88,42.1,-79.24,70.0,11.41
49,Kismayo,1,SO,1598663018,80,-0.36,42.55,76.69,13.71
50,Lagos,20,NG,1598663018,83,6.58,3.75,78.8,4.7
51,Okato,68,NZ,1598663018,72,-39.2,173.88,60.01,8.01
52,Vaini,75,TO,1598663018,65,-21.2,-175.2,78.8,11.41
53,Kruisfontein,2,ZA,1598663019,91,-34.0,24.73,48.49,9.26
54,Provideniya,90,RU,1598663019,76,64.38,-173.3,51.8,8.95
55,Esmeraldas,0,BR,1598663019,60,-19.76,-44.31,69.8,8.05
56,Dunedin,48,NZ,1598662822,47,-45.87,170.5,55.45,8.97
57,Wagar,67,SD,1598663020,55,16.15,36.2,84.7,14.94
58,Kamenka,54,RU,1598663020,93,51.32,42.77,56.91,6.02
59,East London,0,ZA,1598663020,71,-33.02,27.91,59.68,5.73
60,Hong Kong,0,HK,1598662792,74,22.29,114.16,86.0,2.93
